sBathroom,sBedroom,sBed Extension,sCloset,sDining,sFoyer,sHall,sKitchen,sLiving,sMaster Bedroom,sTv Room,sWashing,sWaking Cl,lBathroom,lBedroom,lBed Extension,lCloset,lDining,lFoyer,lHall,lKitchen,lLiving,lMaster Bedroom,lTv Room,lWashing,lWaking Cl,aBathroom,aBedroom,aBed Extension,aCloset,aDining,aFoyer,aHall,aKitchen,aLiving,aMaster Bedroom,aTv Room,aWashing,aWaking Cl,pBathroom,pBedroom,pBed Extension,pCloset,pDining,pFoyer,pHall,pKitchen,pLiving,pMaster Bedroom,pTv Room,pWashing,pWaking Cl,tBathroom,tBedroom,tBed Extension,tCloset,tDining,tFoyer,tHall,tKitchen,tLiving,tMaster Bedroom,tTv Room,tWashing,tWaking Cl,dBathroom,dBedroom,dBed Extension,dCloset,dDining,dFoyer,dHall,dKitchen,dLiving,dMaster Bedroom,dTv Room,dWashing,dWaking Cl,wBathroom,wBedroom,wBed Extension,wCloset,wDining,wFoyer,wHall,wKitchen,wLiving,wMaster Bedroom,wTv Room,wWashing,wWaking Cl,xBathroom,xBedroom,xBed Extension,xCloset,xDining,xFoyer,xHall,xKitchen,xLiving,xMaster Bedroom,xTv Room,xWashing,xWaking Cl,yBathroom,yBedroom,yBed Extension,yCloset,yDining,yFoyer,yHall,yKitchen,yLiving,yMaster Bedroom,yTv Room,yWashing,yWaking Cl,jBathroom,jBedroom,jBed Extension,jCloset,jDining,jFoyer,jHall,jKitchen,jLiving,jMaster Bedroom,jTv Room,jWashing,jWaking Cl,cBathroom,cBedroom,cBed Extension,cCloset,cDining,cFoyer,cHall,cKitchen,cLiving,cMaster Bedroom,cTv Room,cWashing,cWaking Cl
1.88,3.03,#N/A,#N/A,3.85,#N/A,1.31,2.62,3.85,3.85,3.36,2.46,#N/A,3.36,3.69,#N/A,#N/A,4.75,#N/A,3.36,2.7,5,4.26,4.75,2.7,#N/A,6.3167996,11.1807,#N/A,#N/A,18.2875,#N/A,4.4016,7.074,19.25,16.401001,15.959999,6.642,#N/A,0.56,0.82,#N/A,#N/A,0.81,#N/A,0.39,0.97,0.77,0.9,0.71,0.91,#N/A,0.057380955,0.101563969,#N/A,#N/A,0.166121181,#N/A,0.03998354,0.064259261,0.174864401,0.148984478,0.144978476,0.060335031,#N/A,1.88,3.03,#N/A,#N/A,3.85,#N/A,#N/A,2.62,3.85,3.85,3.36,2.46,#N/A,3.36,3.69,#N/A,#N/A,4.75,#N/A,3.36,2.7,5,4.26,4.75,2.7,#N/A,4.75,8.11,#N/A,#N/A,9.01,#N/A,4.75,11.22,0.9,0.9,4.75,11.14,#N/A,4.26,6.14,#N/A,#N/A,11.3,#N/A,10.89,8.6,8.52,4.26,6.14,6.14,#N/A,"Mb,Tv,","Tv,Ha,Ki,Wa,", , ,"Ha,Ki,", ,"Li,Tv,Ha,","Be,Ha,Wa,Di,","Mb,Tv,Ha,","Ba,Li,Tv,","Ba,Mb,Li,Be,Ha,Ha,","Be,Ki,", ,"Ha,","Ha,Cl,", , ,"Li,Ki,", ,"Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,",Wa,Tv, 
1.73,3.26,#N/A,0.76,#N/A,1.32,1.46,2.7,5.13,3.88,#N/A,#N/A,#N/A,2.56,4.02,#N/A,4.64,#N/A,2.7,3.47,3.6,6.58,4.85,#N/A,#N/A,#N/A,4.4288,13.1052,#N/A,3.5263999,#N/A,3.5640001,5.0662003,9.72,33.7554,18.818,#N/A,#N/A,#N/A,0.68,0.81,#N/A,0.16,#N/A,0.49,0.42,0.75,0.78,0.8,#N/A,#N/A,#N/A,0.044681826,0.132217364,#N/A,0.03557758,#N/A,0.035956925,0.051112509,0.098064339,0.340555658,0.189853368,#N/A,#N/A,#N/A,1.73,3.26,#N/A,0.76,#N/A,1.32,1.46,2.7,5.13,3.88,#N/A,#N/A,#N/A,2.56,4.02,#N/A,4.64,#N/A,2.7,3.47,3.6,6.58,4.85,#N/A,#N/A,#N/A,5.06,8.52,#N/A,0.28,#N/A,6.79,5.06,6.79,0.21,0.21,#N/A,#N/A,#N/A,3.81,3.81,#N/A,2.98,#N/A,7.9,6.38,9.22,7.69,3.81,#N/A,#N/A,#N/A,"Mb,Ba,Ha,","Cl,Ba,Ha,Fo,", ,"Mb,", ,"Be,Ha,Ki,Li,","Mb,Be,Ba,Ba,Fo,Li,","Fo,Li,","Mb,Ha,Fo,Ki,","Cl,Ba,Ha,Li,", , , ,"Ha,","Ha,Cl,", ,"Ha,", ,"Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
2.4,3.5,#N/A,#N/A,4.3,1.5,1.9,3,4,4.3,3.5,3,#N/A,3.5,4.1,#N/A,#N/A,5.31,2,7.01,3,4.2,4.7,4,3,#N/A,8.400001,14.349999,#N/A,#N/A,22.833,3,13.319,9,16.8,20.210001,14,9,#N/A,0.69,0.85,#N/A,#N/A,0.81,0.75,0.27,1,0.95,0.91,0.88,1,#N/A,0.064165248,0.109615612,#N/A,#N/A,0.174414874,0.022916157,0.1017401,0.068748472,0.128330482,0.154378521,0.106942068,0.068748472,#N/A,2.4,3.5,#N/A,#N/A,4.3,1.5,1.9,3,4,4.3,3.5,3,#N/A,3.5,4.1,#N/A,#N/A,5.31,2,7.01,3,4.2,4.7,4,3,#N/A,4.7,8.21,#N/A,#N/A,9.41,4.7,4.7,11.71,0.5,0.4,4.7,11.71,#N/A,5.51,7.81,#N/A,#N/A,13.81,13.61,11.81,10.81,10.21,5.51,7.91,7.81,#N/A,"Mb,Be,Tv,","Ki,Wa,Ba,Tv,Ha,", , ,"Ki,Ha,","Li,Ha,","Be,Li,Ki,Tv,Di,Fo,","Be,Wa,Ha,Di,","Mb,Tv,Ha,Fo,","Li,Ba,Tv,","Mb,Be,Li,Ba,Ha,","Be,Ki,", ,"Ha,","Ha,Cl,", , ,"Li,Ki,","Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,",Wa,Tv, 
2.16,2.07,#N/A,0.9,3.51,1.35,1.08,2.25,4.41,3.06,#N/A,#N/A,1.98,2.16,4.32,#N/A,2.16,4.41,3.33,7.21,4.32,4.5,4.41,#N/A,#N/A,2.43,4.6656003,8.9424,#N/A,1.944,15.479099,4.4955,7.7868004,9.72,19.845,13.494599,#N/A,#N/A,4.8114004,1,0.48,#N/A,0.42,0.8,0.41,0.15,0.52,0.98,0.69,#N/A,#N/A,0.81,0.039920218,0.076513747,#N/A,0.016633423,0.132443624,0.038464791,0.066626104,0.083167116,0.169799529,0.115463671,#N/A,#N/A,0.041167726,2.16,2.07,#N/A,0.9,3.51,1.35,1.08,2.25,4.41,3.06,#N/A,#N/A,1.98,2.16,4.32,#N/A,2.16,4.41,3.33,7.21,4.32,4.5,4.41,#N/A,#N/A,2.43,6.94,10,#N/A,9.1,3.33,5.59,5.59,1.08,1.08,12.07,#N/A,#N/A,12.79,7.93,11.17,#N/A,11.17,11.08,6.76,10.09,11.17,6.76,11.17,#N/A,#N/A,9.19,"Ha,Ha,Fo,","Mb,Cl,Cl,Ha,", ,"Be,Be,Cl,Ha,","Be,Ki,Li,Ha,","Li,Ba,Ha,Ha,","Mb,Be,Be,Cl,Di,Li,Ba,Wc,Fo,","Di,Li,","Di,Ki,Ha,Fo,","Be,Wc,Ha,", , ,"Mb,Be,Ha,","Ha,","Ha,Cl,", ,"Ha,","Li,Ki,","Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , ,"Mb,"
2.1,3,#N/A,#N/A,3.3,2.3,1.1,2.8,4,3.3,#N/A,#N/A,#N/A,3.1,4.1,#N/A,#N/A,4.8,5.31,6.21,4.2,4.1,7.51,#N/A,#N/A,#N/A,6.5099993,12.299999,#N/A,#N/A,15.84,12.212999,6.8310003,11.759999,16.4,24.783,#N/A,#N/A,#N/A,0.68,0.73,#N/A,#N/A,0.69,0.43,0.18,0.67,0.98,0.44,#N/A,#N/A,#N/A,0.050128207,0.094712282,#N/A,#N/A,0.121970949,0.094042366,0.052599974,0.090554182,0.126283053,0.190833714,#N/A,#N/A,#N/A,2.1,3,#N/A,#N/A,3.3,2.3,1.1,2.8,4,3.3,#N/A,#N/A,#N/A,3.1,4.1,#N/A,#N/A,4.8,5.31,6.21,4.2,4.1,7.51,#N/A,#N/A,#N/A,7.91,3.7,#N/A,#N/A,12.21,9.91,3.7,8.01,12.21,0.4,#N/A,#N/A,#N/A,11.01,6.91,#N/A,#N/A,11.11,5.71,5.71,13.11,7.11,5.81,#N/A,#N/A,#N/A,"Be,Ki,Fo,Ha,","Mb,Be,Ha,", , ,"Ki,Li,Ha,","Be,Li,Ba,Ha,Ha,","Mb,Be,Be,Fo,","Di,Ba,Ha,","Di,Fo,Ha,","Be,Ha,Ba,", , , ,"Ha,","Ha,Cl,", , ,"Li,Ki,","Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
2.57,4.5,#N/A,0.9,4.5,4.38,1.8,2.96,4.5,4.38,#N/A,3.47,#N/A,2.83,5.66,#N/A,4.5,4.5,5.15,5.66,4.5,5.66,4.5,#N/A,7.21,#N/A,7.2730994,25.47,#N/A,4.0499997,20.25,22.557001,10.188,13.32,25.47,19.710001,#N/A,25.0187,#N/A,0.91,0.8,#N/A,0.2,1,0.85,0.32,0.66,0.8,0.97,#N/A,0.48,#N/A,0.040654257,0.142369005,#N/A,0.022638179,0.113190905,0.126086289,0.056947602,0.074454462,0.142369005,0.110172486,#N/A,0.139846385,#N/A,2.57,4.5,#N/A,0.9,4.5,4.38,1.8,2.96,4.5,4.38,#N/A,3.47,#N/A,2.83,5.66,#N/A,4.5,4.5,5.15,5.66,4.5,5.66,4.5,#N/A,7.21,#N/A,6.18,3.47,#N/A,14.29,14.29,9.14,9.14,14.29,3.47,14.29,#N/A,11.58,#N/A,10.04,5.53,#N/A,9.91,10.81,13.9,8.24,15.32,12.61,5.66,#N/A,18.28,#N/A,"Be,Li,Ha,","Ba,Ha,", ,"Mb,Di,","Cl,Ki,Fo,","Di,Ki,Wa,Li,Ha,","Be,Fo,Li,Ba,Ha,","Di,Wa,Fo,","Fo,Ba,Ha,","Cl,Ha,", ,"Ki,Fo,", ,"Ha,","Ha,Cl,", ,"Ha,","Li,Ki,","Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", ,Tv, 
2.15,2.98,#N/A,0.69,2.43,1.11,#N/A,2.36,4.44,3.67,#N/A,#N/A,#N/A,2.29,3.81,#N/A,2.15,2.84,1.94,#N/A,3.88,6.31,3.81,#N/A,#N/A,#N/A,4.9235,11.3538,#N/A,1.4835,6.9012,2.1534002,#N/A,9.1568,28.0164,13.9827,#N/A,#N/A,#N/A,0.94,0.78,#N/A,0.32,0.86,0.57,#N/A,0.61,0.7,0.96,#N/A,#N/A,#N/A,0.062139595,0.143296544,#N/A,0.018723284,0.087100187,0.027178108,#N/A,0.115568161,0.353595562,0.176475945,#N/A,#N/A,#N/A,2.15,2.98,#N/A,0.69,2.43,1.11,#N/A,2.36,4.44,3.67,#N/A,#N/A,#N/A,2.29,3.81,#N/A,2.15,2.84,1.94,#N/A,3.88,6.31,3.81,#N/A,#N/A,#N/A,9.42,1.25,#N/A,1.18,7,5.06,#N/A,9.42,4.99,1.18,#N/A,#N/A,#N/A,3.33,7.76,#N/A,7,9.63,9.63,#N/A,8.59,3.33,3.33,#N/A,#N/A,#N/A,"Li,","Cl,Cl,Li,Fo,", ,"Mb,Be,Cl,","Li,Ki,Fo,","Be,Li,Di,", ,"Li,Di,","Mb,Be,Cl,Di,Ki,Ba,Fo,","Cl,Cl,Li,", , , ,"Ha,","Ha,Cl,", ,"Ha,","Li,Ki,","Li,Ki,", ,"Di,","Di,Cl,Ha,","Ha,", , , 
1.98,3.69,#N/A,0.63,3.51,#N/A,1.26,2.34,3.69,3.6,#N/A,#N/A,#N/A,2.52,3.87,#N/A,2.7,3.78,#N/A,1.98,3.24,7.84,3.69,#N/A,#N/A,#N/A,4.9896,14.2803,#N/A,1.701,13.2678,#N/A,2.4948,7.5815997,28.929602,13.283999,#N/A,#N/A,#N/A,0.79,0.95,#N/A,0.23,0.93,#N/A,0.64,0.72,0.47,0.98,#N/A,#N/A,#N/A,0.057664105,0.165035416,#N/A,0.019658217,0.153334096,#N/A,0.028832052,0.08761948,0.334335336,0.153521306,#N/A,#N/A,#N/A,1.98,3.69,#N/A,0.63,3.51,#N/A,1.26,2.34,3.69,3.6,#N/A,#N/A,#N/A,2.52,3.87,#N/A,2.7,3.78,#N/A,1.98,3.24,7.84,3.69,#N/A,#N/A,#N/A,2.52,4.5,#N/A,0.27,12.34,#N/A,2.52,13.51,4.5,0.9,#N/A,#N/A,#N/A,3.87,3.87,#N/A,7.57,7.57,#N/A,6.31,4.32,7.57,7.57,#N/A,#N/A,#N/A,"Be,Ha,","Ba,Ha,Li,", ,"Mb,","Li,Ki,", ,"Mb,Be,Ba,","Di,","Mb,Be,Di,","Cl,Ha,Li,", , , ,"Ha,","Ha,Cl,", ,"Ha,","Li,Ki,", ,"Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
2.05,3.69,#N/A,0.66,3.52,2.13,1.39,2.38,4.1,3.52,#N/A,#N/A,#N/A,3.52,4.18,#N/A,2.95,4.26,3.69,3.19,4.26,4.67,4.1,#N/A,#N/A,#N/A,7.2159996,15.4242,#N/A,1.9470001,14.995201,7.8597007,4.4341,10.138801,19.147,14.431999,#N/A,#N/A,#N/A,0.58,0.88,#N/A,0.22,0.83,0.58,0.44,0.56,0.88,0.86,#N/A,#N/A,#N/A,0.059996889,0.128243358,#N/A,0.016188187,0.124676477,0.065348894,0.036866993,0.084298303,0.1591963,0.119993776,#N/A,#N/A,#N/A,2.05,3.69,#N/A,0.66,3.52,2.13,1.39,2.38,4.1,3.52,#N/A,#N/A,#N/A,3.52,4.18,#N/A,2.95,4.26,3.69,3.19,4.26,4.67,4.1,#N/A,#N/A,#N/A,8.27,6.14,#N/A,11.47,2.62,6.14,8.27,0.25,1.47,10.32,#N/A,#N/A,#N/A,7.21,12.04,#N/A,11.38,8.11,4.5,10.65,8.11,4.01,7.21,#N/A,#N/A,#N/A,"Mb,Ha,Fo,Ha,","Be,Ha,Di,Ha,", ,"Be,Cl,Ha,","Be,Ki,Li,Fo,Ha,","Ba,Di,Li,Ha,","Mb,Be,Be,Cl,Cl,Ba,Ha,","Di,Li,","Ki,Di,Fo,","Cl,Ba,Ha,", , , ,"Ha,","Ha,Cl,", ,"Ha,","Li,Ki,","Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
2.19,4.38,1.67,#N/A,#N/A,3.47,#N/A,4.38,5.28,4.63,#N/A,#N/A,2.32,2.7,4.5,4.5,#N/A,#N/A,4.63,#N/A,4.38,9.01,5.28,#N/A,#N/A,2.7,5.913,19.710001,7.515,#N/A,#N/A,16.066101,#N/A,19.1844,47.572803,24.446402,#N/A,#N/A,6.264,0.81,0.97,0.37,#N/A,#N/A,0.75,#N/A,1,0.59,0.88,#N/A,#N/A,0.86,0.034466735,0.114889122,0.043804754,#N/A,#N/A,0.093648917,#N/A,0.111825407,0.277300726,0.14249749,#N/A,#N/A,0.036512706,2.19,4.38,1.67,#N/A,#N/A,3.47,#N/A,4.38,5.28,4.63,#N/A,#N/A,2.32,2.7,4.5,4.5,#N/A,#N/A,4.63,#N/A,4.38,9.01,5.28,#N/A,#N/A,2.7,4.63,18.15,4.63,#N/A,#N/A,13.51,#N/A,9.14,9.14,4.5,#N/A,#N/A,6.82,14.16,6.95,12.48,#N/A,#N/A,12.48,#N/A,12.48,7.21,7.21,#N/A,#N/A,14.16,"Bx,Wc,","Be,Li,","Mb,Ba,Wc,Ki,", , ,"Be,Li,Ki,", ,"Bx,Wc,Li,Fo,","Mb,Be,Be,Ki,Fo,","Bx,Li,", , ,"Ba,Bx,Ki,","Ha,","Ha,Cl,","Li,Mb,Ba,", , ,"Li,Ki,", ,"Di,","Di,Cl,Ha,","Ha,", , ,"Mb,"
1.25,#N/A,#N/A,0.62,#N/A,#N/A,#N/A,1.66,4.02,2.43,#N/A,#N/A,#N/A,3.19,#N/A,#N/A,1.46,#N/A,#N/A,#N/A,3.12,5.96,3.12,#N/A,#N/A,#N/A,3.9875002,#N/A,#N/A,0.9052,#N/A,#N/A,#N/A,5.1791997,23.9592,7.5815997,#N/A,#N/A,#N/A,0.39,#N/A,#N/A,0.42,#N/A,#N/A,#N/A,0.53,0.67,0.78,#N/A,#N/A,#N/A,0.095824121,#N/A,#N/A,0.021752975,#N/A,#N/A,#N/A,0.124462002,0.57576656,0.18219438,#N/A,#N/A,#N/A,1.25,#N/A,#N/A,0.62,#N/A,#N/A,#N/A,1.66,4.02,2.43,#N/A,#N/A,#N/A,3.19,#N/A,#N/A,1.46,#N/A,#N/A,#N/A,3.12,5.96,3.12,#N/A,#N/A,#N/A,5.75,#N/A,#N/A,5.82,#N/A,#N/A,#N/A,5.82,1.8,5.82,#N/A,#N/A,#N/A,3.12,#N/A,#N/A,6.03,#N/A,#N/A,#N/A,4.37,3.12,6.65,#N/A,#N/A,#N/A,"Li,Ki,", , ,"Mb,Li,Ki,", , , ,"Cl,Li,Ba,","Mb,Cl,Ba,Ki,","Cl,Li,", , , ,"Ha,", , ,"Ha,", , , ,"Di,","Di,Cl,Ha,","Ha,", , , 
1.6,2.7,#N/A,#N/A,#N/A,1.3,#N/A,3,5.01,2.8,#N/A,#N/A,#N/A,2.7,3,#N/A,#N/A,#N/A,3,#N/A,3.7,7.71,3,#N/A,#N/A,#N/A,4.32,8.1,#N/A,#N/A,#N/A,3.8999999,#N/A,11.1,38.6271,8.4,#N/A,#N/A,#N/A,0.59,0.9,#N/A,#N/A,#N/A,0.43,#N/A,0.81,0.65,0.93,#N/A,#N/A,#N/A,0.058027777,0.108802082,#N/A,#N/A,#N/A,0.052386186,#N/A,0.149099149,0.518852949,0.112831788,#N/A,#N/A,#N/A,1.6,2.7,#N/A,#N/A,#N/A,1.3,#N/A,3,5.01,2.8,#N/A,#N/A,#N/A,2.7,3,#N/A,#N/A,#N/A,3,#N/A,3.7,7.71,3,#N/A,#N/A,#N/A,9.71,14.31,#N/A,#N/A,#N/A,6.61,#N/A,6.61,9.61,11.31,#N/A,#N/A,#N/A,4.2,4.2,#N/A,#N/A,#N/A,10.61,#N/A,6.91,6.91,4.2,#N/A,#N/A,#N/A,"Mb,Li,","Mb,Li,", , , ,"Li,Ki,", ,"Li,Fo,","Mb,Be,Ba,Ki,Fo,","Be,Li,Ba,", , , ,"Ha,","Ha,Cl,", , , ,"Li,Ki,", ,"Di,","Di,Cl,Ha,","Ha,", , , 
1.8,2.36,#N/A,#N/A,#N/A,#N/A,1.04,1.8,2.63,2.91,#N/A,#N/A,#N/A,2.01,2.98,#N/A,#N/A,#N/A,#N/A,1.8,2.36,4.5,3.67,#N/A,#N/A,#N/A,3.6179998,7.0327997,#N/A,#N/A,#N/A,#N/A,1.8719999,4.2479997,11.835001,10.679701,#N/A,#N/A,#N/A,0.9,0.79,#N/A,#N/A,#N/A,#N/A,0.58,0.76,0.58,0.79,#N/A,#N/A,#N/A,0.092095036,0.179017682,#N/A,#N/A,#N/A,#N/A,0.047651163,0.108131483,0.301256191,0.271848397,#N/A,#N/A,#N/A,1.8,2.36,#N/A,#N/A,#N/A,#N/A,1.04,1.8,2.63,2.91,#N/A,#N/A,#N/A,2.01,2.98,#N/A,#N/A,#N/A,#N/A,1.8,2.36,4.5,3.67,#N/A,#N/A,#N/A,8.87,5.47,#N/A,#N/A,#N/A,#N/A,7.83,5.47,5.47,7.83,#N/A,#N/A,#N/A,3.74,8.18,#N/A,#N/A,#N/A,#N/A,3.74,3.74,5.54,8.25,#N/A,#N/A,#N/A,"Li,Ha,","Mb,Li,", , , , ,"Li,Ki,Ba,","Li,Ha,","Mb,Be,Ki,Ha,Ba,","Be,Li,", , , ,"Ha,","Ha,Cl,", , , , ,"Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
1.32,2.52,0.54,0.54,#N/A,#N/A,1.02,2.46,2.34,2.94,#N/A,#N/A,#N/A,2.46,3,0.9,2.58,#N/A,#N/A,3.78,2.46,3.54,3.48,#N/A,#N/A,#N/A,3.2472003,7.56,0.486,1.3932,#N/A,#N/A,3.8555999,6.0516,8.2836,10.2312,#N/A,#N/A,#N/A,0.54,0.84,0.6,0.21,#N/A,#N/A,0.27,1,0.66,0.84,#N/A,#N/A,#N/A,0.057045284,0.132810517,0.008537819,0.024475081,#N/A,#N/A,0.067733362,0.106311656,0.14552238,0.179736899,#N/A,#N/A,#N/A,1.32,2.52,0.54,0.54,#N/A,#N/A,1.02,2.46,2.34,2.94,#N/A,#N/A,#N/A,2.46,3,0.9,2.58,#N/A,#N/A,3.78,2.46,3.54,3.48,#N/A,#N/A,#N/A,4.26,0.78,3.36,0.78,#N/A,#N/A,4.26,5.59,8.05,0.78,#N/A,#N/A,#N/A,2.88,6.31,5.83,5.83,#N/A,#N/A,5.35,2.88,2.88,2.88,#N/A,#N/A,#N/A,"Mb,Ha,Ki,","Bx,Cl,Be,","Mb,Cl,Be,Be,Ha,","Mb,Bx,Be,", , ,"Mb,Bx,Be,Be,Ba,Ki,Li,","Ba,Ha,Li,","Be,Be,Ha,Ki,","Bx,Cl,Ba,Ha,", , , ,"Ha,","Ha,Cl,","Li,Mb,Ba,","Ha,", , ,"Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", , , 
1.26,2.16,0.48,0.66,#N/A,1.86,1.56,1.86,2.52,2.22,#N/A,1.26,#N/A,1.86,2.7,0.84,2.64,#N/A,1.98,1.62,2.16,4.62,2.7,#N/A,1.86,#N/A,2.3436,5.8320003,0.40319997,1.7424002,#N/A,3.6828,2.5272,4.0176,11.6424,5.994,#N/A,2.3436,#N/A,0.68,0.8,0.57,0.25,#N/A,0.94,0.96,0.86,0.55,0.82,#N/A,0.68,#N/A,0.051855976,0.129042529,0.008921458,0.038553449,#N/A,0.081487963,0.055918426,0.08889596,0.257607109,0.132627036,#N/A,0.051855976,#N/A,1.26,2.16,0.48,0.66,#N/A,1.86,1.56,1.86,2.52,2.22,#N/A,1.26,#N/A,1.86,2.7,0.84,2.64,#N/A,1.98,1.62,2.16,4.62,2.7,#N/A,1.86,#N/A,8.41,7.57,7.57,6.91,#N/A,2.4,6.79,2.4,4.26,7.57,#N/A,2.4,#N/A,5.11,7.63,7.15,7.15,#N/A,2.88,5.59,4.92,2.88,2.94,#N/A,7.09,#N/A,"Mb,Ba,Bx,Ha,","Cl,Ba,Bx,","Cl,Ba,Be,Ha,","Be,Bx,Ha,Li,", ,"Li,Ki,","Cl,Cl,Ba,Ba,Bx,Bx,Li,","Li,Wa,Fo,","Cl,Cl,Ha,Ki,Wa,Fo,","Cl,Ba,Bx,", ,"Li,Ki,", ,"Ha,","Ha,Cl,","Li,Mb,Ba,","Ha,", ,"Li,Ki,","Li,Cl,Be,Ba,Mb,","Di,","Di,Cl,Ha,","Ha,", ,Tv, 
